id,name,symbol,slug,num_market_pairs,date_added,max_supply,circulating_supply,total_supply,cmc_rank,last_updated
1,Bitcoin,BTC,bitcoin,8894,2013-04-28T00:00:00.000Z,2.10E+07,18795806,18795806,1,2021-08-24T07:58:02.000Z
1027,Ethereum,ETH,ethereum,5557,2015-08-07T00:00:00.000Z,NA,117233157.8,117233157.8,2,2021-08-24T07:58:04.000Z
2010,Cardano,ADA,cardano,296,2017-10-01T00:00:00.000Z,4.50E+10,32143065465,33050654414,3,2021-08-24T07:57:22.000Z
1839,Binance Coin,BNB,binance-coin,549,2017-07-25T00:00:00.000Z,168137036,168137036,168137036,4,2021-08-24T07:57:17.000Z
825,Tether,USDT,tether,17209,2015-02-25T00:00:00.000Z,NA,65006834131,67468847060,5,2021-08-24T07:57:23.000Z
52,XRP,XRP,xrp,638,2013-08-04T00:00:00.000Z,1.00E+11,46471846087,99990313705,6,2021-08-24T07:58:03.000Z
74,Dogecoin,DOGE,dogecoin,386,2013-12-15T00:00:00.000Z,NA,1.31E+11,1.31E+11,7,2021-08-24T07:57:06.000Z
6636,Polkadot,DOT,polkadot-new,230,2020-08-19T00:00:00.000Z,NA,987579315,1103303471,8,2021-08-24T07:57:05.000Z
3408,USD Coin,USDC,usd-coin,1593,2018-10-08T00:00:00.000Z,NA,26954437580,26954437580,9,2021-08-24T07:57:15.000Z
5426,Solana,SOL,solana,122,2020-04-10T00:00:00.000Z,NA,290662669.8,502448067.8,10,2021-08-24T07:58:05.000Z
7083,Uniswap,UNI,uniswap,290,2020-09-17T00:00:00.000Z,1.00E+09,611598687.4,1.00E+09,11,2021-08-24T07:57:24.000Z
4172,Terra,LUNA,terra-luna,78,2019-07-26T00:00:00.000Z,NA,404884537.2,995671299.9,12,2021-08-24T07:57:06.000Z
1975,Chainlink,LINK,chainlink,526,2017-09-20T00:00:00.000Z,1.00E+09,447509553.9,1.00E+09,13,2021-08-24T07:57:20.000Z
1831,Bitcoin Cash,BCH,bitcoin-cash,561,2017-07-23T00:00:00.000Z,2.10E+07,18826081.25,18826081.25,14,2021-08-24T07:57:17.000Z
2,Litecoin,LTC,litecoin,715,2013-04-28T00:00:00.000Z,8.40E+07,66752614.52,66752614.52,15,2021-08-24T07:58:04.000Z
4687,Binance USD,BUSD,binance-usd,870,2019-09-20T00:00:00.000Z,NA,12324792593,12324792593,16,2021-08-24T07:57:10.000Z
3890,Polygon,MATIC,polygon,250,2019-04-28T00:00:00.000Z,1.00E+10,6477576924,1.00E+10,17,2021-08-24T07:57:23.000Z
8916,Internet Computer,ICP,internet-computer,,2021-03-23T00:00:00.000Z,469213710,156906391,,18,2021-08-24T07:57:17.000Z
3717,Wrapped Bitcoin,WBTC,wrapped-bitcoin,,2019-01-30T00:00:00.000Z,NA,194622.9498,,19,2021-08-24T07:57:21.000Z
512,Stellar,XLM,stellar,,2014-08-05T00:00:00.000Z,50001806812,23575955272,,20,2021-08-24T07:58:09.000Z
1321,Ethereum Classic,ETC,ethereum-classic,,2016-07-24T00:00:00.000Z,210700000,129157519.9,,21,2021-08-24T07:58:04.000Z
5805,Avalanche,AVAX,avalanche,,2020-07-13T00:00:00.000Z,7.20E+08,173674911.7,,22,2021-08-24T07:57:12.000Z
